LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,,,,13.8,18.11,11.76
-37.81599,144.98461,2020,10,9,6.86,5.74,5.55,3.33,12.41,9.07,9.56,6.93,,,,,,
-37.81599,144.98461,2020,10,10,2.63,2.67,4.96,3.1,7.59,5.77,6.01,4.19,,,,,,
-37.81599,144.98461,2020,10,11,2,1.83,3.03,2.15,5.03,3.98,3.99,2.95,,,,,,
-37.81599,144.98461,2020,10,12,6.16,3.32,2.34,1.82,8.49,5.15,5.26,3.47,,,,,,
-37.81599,144.98461,2020,10,13,2.59,1.85,4.26,2.87,6.86,4.73,5.14,3.65,,,,,,
-37.81599,144.98461,2020,10,14,6.6,2.83,1.54,1.3,8.14,4.14,3.74,2.36,,,,,,
-37.81599,144.98461,2020,10,15,5.02,2.84,6.65,4.85,11.68,7.69,8.93,6.04,,,,,,
-37.81599,144.98461,2020,10,16,6.68,5.22,0.44,0.35,7.12,5.56,4.28,2.95,,,,,,
-37.81599,144.98461,2020,10,17,4.62,4.57,3.52,1.84,8.14,6.41,6.82,4.81,,,,,,
-37.81599,144.98461,2020,10,18,4.63,4.2,3.39,2.12,8.02,6.32,6.33,4.76,,,,,,
-37.81599,144.98461,2020,10,19,1.28,1.79,3.65,2.3,4.93,4.09,4.24,3.16,,,,,,
-37.81599,144.98461,2020,10,20,4.39,2.59,0.97,1.18,5.36,3.77,2.78,2.21,,,,,,
-37.81599,144.98461,2020,10,21,3.69,2.62,1.75,1.83,5.44,4.45,3.44,2.74,,,,,,
-37.81599,144.98461,2020,10,22,4.21,2.73,0.62,0.86,4.83,3.59,2.96,2.3,,,,,,
-37.81599,144.98461,2020,10,23,4.38,3.55,2.44,1.5,6.82,5.05,4.25,2.71,,,,,,
-37.81599,144.98461,2020,10,24,8.89,8.17,2.7,1.48,11.6,9.65,8.53,6.5,,,,,,
-37.81599,144.98461,2020,10,25,2.05,3.05,9.07,5.9,11.13,8.95,10.11,7.68,,,,,,
-37.81599,144.98461,2020,10,26,2.2,3.25,7.37,4.35,9.56,7.6,8.63,6.26,,,,,,
-37.81599,144.98461,2020,10,27,2.41,2.92,5.43,3.26,7.84,6.18,6.38,4.62,,,,,,
-37.81599,144.98461,2020,10,28,4.68,2.67,0.56,0.53,5.24,3.2,3.2,2.23,,,,,,
-37.81599,144.98461,2020,10,29,4.86,3.88,0.2,0.13,5.06,4,3.69,2.63,,,,,,
-37.81599,144.98461,2020,10,30,4.91,4.09,3.58,2.82,8.49,6.91,6.03,4.62,,,,,,
-37.81599,144.98461,2020,10,31,3.4,4.15,6.25,3.98,9.65,8.13,7.58,5.86,,,,,,
-37.81599,144.98461,2020,11,1,1.82,1.7,4.28,2.69,6.1,4.39,4.97,3.7,,,,,,
-37.81599,144.98461,2020,11,2,4.7,2.31,1.23,0.94,5.93,3.26,2.88,1.99,,,,,,
-37.81599,144.98461,2020,11,3,5.51,3.9,6.15,3.31,11.66,7.21,8.52,5.32,,,,,,
-37.81599,144.98461,2020,11,4,8.21,4.7,3.19,2.45,11.41,7.15,7.13,5.13,,,,,,
-37.81599,144.98461,2020,11,5,5.27,5.7,5.24,2.88,10.51,8.57,8.46,6.39,,,,,,
-37.81599,144.98461,2020,11,6,2.48,3.22,4.42,2.56,6.91,5.78,5.68,4.22,,,,,,
-37.81599,144.98461,2020,11,7,2.43,3.46,6.25,3.64,8.68,7.1,7.63,5.71,,,,,,
-37.81599,144.98461,2020,11,8,5.65,3.09,0.08,0.25,5.73,3.34,3.26,2.3,,,,,,
-37.81599,144.98461,2020,11,9,5.24,4.48,2.12,1.39,7.36,5.87,5.01,3.34,,,,,,
-37.81599,144.98461,2020,11,10,3.91,4.09,6.38,3.42,10.29,7.51,8.19,5.19,,,,,,
